PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
205538,Residential,4190420000,225 S 74TH ST,,10,2720,Ranch,Brick,1,1954,4,828,1,2,1,NULL,3600,9/16/2019,135750
205562,Residential,4190473100,238 S 74TH ST,,10,2720,Duplex N/S,Aluminum/Vinyl,1,1954,5,1260,2,2,2,NULL,4880,4/22/2019,144700
205565,Residential,4190476000,224 S 74TH ST,,10,2720,Ranch,Brick,1,1954,4,759,1,2,1,NULL,3660,2/21/2019,100000
205579,Residential,4190510000,210 S 73RD ST,,10,2720,Multiple Residential Bldgs,Brick,1,1931,8,2313,1,4,1,NULL,7200,1/25/2019,182000
205635,Residential,4190571000,501-503 S 73RD ST,,10,2710,Cape Cod,Aluminum/Vinyl,1,1948,5,982,1,2,1,NULL,3660,1/9/2019,135400
205644,Residential,4190580000,543 S 73RD ST,,10,2710,Cape Cod,Aluminum/Vinyl,1,1953,4,836,1,2,1,NULL,4941,1/2/2019,115000
205667,Residential,4190610000,433 S 74TH ST,,10,2710,Residence O/S,Aluminum/Vinyl,1,1910,5,936,1,2,1,NULL,3600,8/15/2019,120000
205692,Residential,4190637000,448-450 S 75TH ST,,10,2710,Cape Cod,Aluminum/Vinyl,1,1947,5,1098,1,2,1,NULL,4800,4/19/2019,110500
205708,Residential,4190665000,521 S 75TH ST,,10,2710,Dplx Bungalow,Aluminum/Vinyl,1.5,1926,8,1426,2,3,2,NULL,3600,7/19/2019,160000
205722,Residential,4190680000,500 S 76TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1940,4,864,1,2,1,NULL,3600,6/14/2019,120000
205779,Residential,4200033000,626 S 62ND ST,,10,2710,Cottage,Frame,1,1922,6,940,1,3,1,NULL,5000,9/12/2019,110900
205789,Residential,4200044000,631 S 60TH ST,,10,2710,Residence O/S,Aluminum/Vinyl,1.5,1918,7,1131,1,2,1,NULL,3750,10/16/2019,135300
205790,Residential,4200045000,633 S 60TH ST,,10,2710,Cottage,Aluminum/Vinyl,1,1928,4,630,1,2,1,NULL,3750,5/24/2019,113000
205808,Residential,4200063000,608-610 S 61ST ST,,10,2710,Cape Cod,Frame,1,1948,5,1086,1,3,1,NULL,3750,11/7/2019,115000
205844,Commercial,4200163110,112 S 68TH ST,,10,6413,Quick Oil Change,Concrete Block,1,1987,NULL,5142,3,NULL,NULL,NULL,17500,10/7/2019,2725000
205862,Residential,4200199000,323 S 67TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1948,4,736,1,2,1,NULL,3720,10/3/2019,123450
205874,Residential,4200213000,316 S 68TH ST,,10,2710,Residence O/S,Aluminum/Vinyl,1,1927,5,1174,1,3,1,NULL,3720,9/9/2019,130000
205954,Residential,4200298000,533 S 65TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1951,4,707,1,2,1,NULL,4875,7/11/2019,95000
205987,Residential,4200335100,534 S 67TH ST,,10,2710,Milwaukee Bungalow,Aluminum/Vinyl,1,1930,7,1207,1,4,1,NULL,6820,5/31/2019,155900
205999,Residential,4200349000,403 S 67TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1949,4,797,1,2,1,NULL,6820,10/29/2019,125000
206001,Residential,4200351000,413 S 67TH ST,,10,2710,Cape Cod,Aluminum/Vinyl,1,1949,5,1054,1,3,1,NULL,3720,7/2/2019,145000
206031,Residential,4200382000,607 S 67TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1953,4,704,1,2,1,NULL,3720,9/20/2019,125000
206059,Residential,4200416110,635 S 66TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1964,5,929,1,3,1,NULL,3720,8/30/2019,131000
206111,Residential,4200627100,6301 W FAIRVIEW AV,,10,2700,Triplex,Masonry/Frame,2,1972,11,2572,3,5,3,1,7500,9/30/2019,156000
